Conditioning Activities,Unnamed_1,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9,Unnamed_10,Unnamed_11
,Definition,2018,2019,2020,2021,2022,2023,1-year change,3-year change,3-year AAG,5-year AAG
Barre,,,,,,,,,,,
Total participation,,"3,532","3,665","3,579","3,659","3,803","4,294",12.9%,20.0%,6.4%,4.1%
Casual,1-49 times,"2,750","2,868","2,721","2,822","3,022","3,473",14.9%,27.6%,8.6%,5.0%
CORE,50+ times,782,797,858,837,781,821,5.2%,-4.2%,-1.3%,1.1%
Bodyweight Exercise & Bodyweight Accessory-Assisted Training,,,,,,,,,,,
Total participation,,"24,183","23,504","22,845","22,629","22,034","22,578",2.5%,-1.2%,-0.4%,-1.3%
Casual,1-49 times,"9,674","9,492","9,581","9,915","9,514","10,486",10.2%,9.4%,3.2%,1.7%
CORE,50+ times,"14,509","14,012","13,264","12,714","12,520","12,092",-3.4%,-8.8%,-3.0%,-3.6%
Pilates Training,,,,,,,,,,,
Total participation,,"9,084","9,243","9,905","9,745","10,311","11,862",15.0%,19.8%,6.4%,5.6%
Casual,1-49 times,"5,845","6,074","6,668","6,611","7,377","8,805",19.4%,32.1%,10.0%,8.8%
CORE,50+ times,"3,238","3,168","3,237","3,133","2,935","3,057",4.2%,-5.5%,-1.8%,-1.1%
Rowing Machine,,,,,,,,,,,
Total participation,,"12,096","12,809","11,694","11,586","11,893","12,775",7.4%,9.2%,3.0%,1.3%
Casual,1-49 times,"7,744","8,308","7,045","7,111","7,875","8,473",7.6%,20.3%,6.4%,2.3%
CORE,50+ times,"4,352","4,500","4,649","4,475","4,017","4,302",7.1%,-7.5%,-2.3%,0.0%
Tai Chi,,,,,,,,,,,
Total participation,,"3,761","3,793","3,300","3,393","3,394","3,948",16.3%,19.6%,6.4%,1.4%
Casual,1-49 times,"2,360","2,379","1,858","2,001","2,139","2,748",28.4%,47.9%,14.3%,4.4%
CORE,50+ times,"1,400","1,414","1,442","1,393","1,255","1,200",-4.4%,-16.8%,-5.9%,-2.9%
Yoga,,,,,,,,,,,
Total participation,,"28,745","30,456","32,808","34,347","33,636","34,249",1.8%,4.4%,1.5%,3.6%
Casual,1-49 times,"17,553","18,953","19,337","20,110","20,409","20,654",1.2%,6.8%,2.2%,3.3%
CORE,50+ times,"11,193","11,503","13,471","14,237","13,228","13,595",2.8%,0.9%,0.5%,4.3%
