Team Sports,Unnamed_1,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9,Unnamed_10,Unnamed_11
,Definition,2018,2019,2020,2021,2022,2023,1-year change,3-year change,3-year AAG,5-year AAG
Baseball,,,,,,,,,,,
Total participation,,"15,877","15,804","15,731","15,587","15,478","16,655",7.6%,5.9%,2.0%,1.0%
Casual,1-12 times,"6,563","6,655","8,089","7,392","7,908","8,934",13.0%,10.4%,3.8%,6.9%
CORE,13+ times,"9,314","9,149","7,643","8,195","7,570","7,722",2.0%,1.0%,0.5%,-3.3%
Basketball,,,,,,,,,,,
Total participation,,"24,225","24,917","27,753","27,135","28,149","29,725",5.6%,7.1%,2.4%,4.3%
Casual,1-12 times,"9,335","9,669","11,962","11,019","13,000","14,405",10.8%,20.4%,7.0%,9.6%
CORE,13+ times,"14,890","15,248","15,791","16,116","15,149","15,320",1.1%,-3.0%,-0.9%,0.6%
Cheerleading,,,,,,,,,,,
Total participation,,"3,841","3,752","3,308","3,465","3,507","3,797",8.3%,14.8%,4.7%,0.0%
Casual,1-25 times,"2,039","1,934","1,931","2,030","2,092","2,360",12.8%,22.2%,7.0%,3.1%
CORE,26+ times,"1,802","1,817","1,377","1,435","1,415","1,438",1.6%,4.4%,1.5%,-3.8%
Football (Flag),,,,,,,,,,,
Total participation,,"6,572","6,783","7,001","6,889","7,104","7,266",2.3%,3.8%,1.3%,2.0%
Casual,1-12 times,"3,573","3,794","4,287","4,137","4,573","4,624",1.1%,7.9%,2.7%,5.5%
CORE,13+ times,"2,999","2,989","2,714","2,752","2,531","2,642",4.4%,-2.7%,-0.8%,-2.4%
CORE: Age 6-17,26+ times,"1,578","1,590","1,446","1,574","1,552","1,661",7.1%,14.9%,4.8%,1.2%
Football (Tackle),,,,,,,,,,,
Total participation,,"5,157","5,107","5,054","5,228","5,436","5,618",3.3%,11.2%,3.6%,1.8%
Casual,1-25 times,"2,258","2,413","2,390","2,642","3,120","3,278",5.1%,37.2%,11.2%,7.9%
CORE,26+ times,"2,898","2,694","2,665","2,586","2,316","2,340",1.0%,-12.2%,-4.1%,-4.1%
CORE: Age 6-17,26+ times,"2,353","2,311","2,226","2,110","2,088","2,130",2.0%,-4.3%,-1.4%,-1.9%
Football (Touch),,,,,,,,,,,
Total participation,,"5,517","5,171","4,846","4,884","4,843","4,949",2.2%,2.1%,0.7%,-2.1%
Casual,1-12 times,"3,313","3,065","2,990","3,171","3,201","3,301",3.1%,10.4%,3.4%,0.0%
CORE,13+ times,"2,204","2,105","1,856","1,713","1,642","1,648",0.4%,-11.2%,-3.8%,-5.6%
Football (7-on-7),,,,,,,,,,,
Total participation,,,"1,656","2,363","2,177","2,386","2,603",9.1%,10.2%,3.6%,
Casual,1-12 times,,"1,226","1,684","1,531","1,699","1,899",11.8%,12.8%,4.6%,
CORE,13+ times,,430,679,645,687,704,2.5%,3.7%,1.3%,
Gymnastics,,,,,,,,,,,
Total participation,,"4,770","4,699","3,848","4,268","4,569","4,758",4.1%,23.6%,7.4%,0.5%
Casual,1-49 times,"3,047","3,004","2,438","2,787","3,095","3,315",7.1%,35.9%,10.8%,2.4%
CORE,50+ times,"1,723","1,695","1,410","1,482","1,473","1,443",-2.1%,2.3%,0.8%,-3.2%
Ice Hockey,,,,,,,,,,,
Total participation,,"2,447","2,357","2,270","2,306","2,278","2,496",9.6%,9.9%,3.3%,0.5%
Casual,1-12 times,"1,105","1,040","1,165","1,206","1,209","1,458",20.6%,25.2%,8.1%,6.1%
CORE,13+ times,"1,342","1,317","1,105","1,101","1,068","1,038",-2.8%,-6.1%,-2.1%,-4.8%
Lacrosse,,,,,,,,,,,
Total participation,,"2,098","2,115","1,884","1,892","1,875","1,979",5.5%,5.1%,1.7%,-1.0%
Casual,1-12 times,"1,036","1,021",902,"1,009",999,"1,129",13.0%,25.2%,8.0%,2.1%
CORE,13+ times,"1,061","1,094",982,883,876,850,-3.0%,-13.4%,-4.6%,-4.2%
Paintball,,,,,,,,,,,
Total participation,,"3,096","2,881","2,781","2,562","2,592","2,669",2.9%,-4.1%,-1.3%,-2.8%
Casual,1-7 times,"1,988","1,808","1,801","1,793","1,775","1,874",5.6%,4.0%,1.4%,-1.1%
