Sport,Category,Code
"Archery (activity, Apparel Or Equipment)",ARCHERY,1235
 All Terr. Veh. (more Than 4 Wheels; Exclusively OfF-Rd.),"ATV'S, MOPEDS, MINIBIKES, ETC.",3296
All Terrain Vehicles (# Of Wheels Unspecified/off Road),"ATV'S, MOPEDS, MINIBIKES, ETC.",3287
All Terrain Vehicles (four Wheels/off Road Only),"ATV'S, MOPEDS, MINIBIKES, ETC.",3286
All Terrain Vehicles (four Wheels/off Road Only),"ATV'S, MOPEDS, MINIBIKES, ETC.",3285
Dune Buggies/beach Buggies,"ATV'S, MOPEDS, MINIBIKES, ETC.",3288
Electric PoweR-Assisted Pedal Bicycles,"ATV'S, MOPEDS, MINIBIKES, ETC.",5045
GO-Carts,"ATV'S, MOPEDS, MINIBIKES, ETC.",3259
"Minibikes, Powered","ATV'S, MOPEDS, MINIBIKES, ETC.",5035
Mopeds Or PoweR-Assisted Cycles,"ATV'S, MOPEDS, MINIBIKES, ETC.",3215
"Motorized Vehicles, Nec (3 Or More Wheels)","ATV'S, MOPEDS, MINIBIKES, ETC.",1744
PedaL-Powered Adult Vehicles (three Or More Wheels),"ATV'S, MOPEDS, MINIBIKES, ETC.",3202
"PoweR-Assisted Cycles, Not Elsewhere Classified","ATV'S, MOPEDS, MINIBIKES, ETC.",5046
"TwO-Wheeled, Powered, OfF-Road Vehicles","ATV'S, MOPEDS, MINIBIKES, ETC.",5036
Utility Vehicles,"ATV'S, MOPEDS, MINIBIKES, ETC.",5044
"Baseball (activity, Apparel Or Equipment; Excl Softball)",BASEBALL/SOFTBALL,5041
"Softball (activity, Apparel Or Equipment)",BASEBALL/SOFTBALL,5034
"Basketball, Activity and Related Equipment",BASKETBALL,1205
"Bicycles And Accessories, (excl.mountain Or AIL-Terrain)",BICYCLES & ACCESSORIES,5040
Mountain Or AIL-Terrain Bicycles And Accessories,BICYCLES & ACCESSORIES,5033
"Billiards Or Pool (activity, Apparel Or Equipment)",BILLIARDS OR POOL,1260
"Bowling (activity, Apparel Or Equipment)",BOWLING,1206
"Boxing (activity, Apparel Or Equipment)",BOXING,1207
"Curling (activity, Apparel Or Equipment)","CURLING (ACTIVITY, ETC)",3282
"Darts, For Indoor Use (activity Or Equipment)",DARTS,3289
"Darts, Lawn (activity Or Equipment)",DARTS,3290
"Darts, Not Otherwise Specified (n.o.s)",DARTS,3291
Exercise (activity Or Apparel W/o Equip),EXERCISE & EQUIPMENT,3299
Exercise Equipment,EXERCISE & EQUIPMENT,3277
"Weight Lifting (activity, Apparel Or Equipment)",EXERCISE & EQUIPMENT,3265
"Fencing (activity, Apparel Or Equipment)",FENCING,3260
"Fishing (activity, Apparel Or Equipment)",FISHING,3223
"Football (activity, Apparel Or Equipment)",FOOTBALL,1211
"Golf (activity, Apparel Or Equipment)",GOLF,1212
"Golf Carts, Motorized Vehicle",GOLF,1213
"Field Hockey (activity, Apparel Or Equipment)","HOCKEY, ALL KINDS",1295
"Hockey (activity, Apparel Or Equipment), Not Specified","HOCKEY, ALL KINDS",3272
"Ice Hockey (activity, Apparel Or Equipment)","HOCKEY, ALL KINDS",1279
"Roller Hockey (activity, Apparel Or Equipment)","HOCKEY, ALL KINDS",5032
"Street Hockey (activity, Apparel Or Equipment)","HOCKEY, ALL KINDS",3245
"Horseback Riding (activity, Apparel Or Equipment)","HORSEBACK RIDING ACTIVITY, EQUIP",1239
"Horseshoes (activity, Apparel Or Equipment)",HORSESHOES,1257
"Ice Or Snow Boating (activity, Apparel Or Equipment)",ICE OR SNOW BOATING,3247
"Ball Sports (activity, Apparel Or Equipment), N.s.","LACROSSE, RUGBY, MISC. BALL GAMES",3236
"Handball (activity, Apparel Or Equipment)","LACROSSE, RUGBY, MISC. BALL GAMES",1282
"Lacrosse (activity, Apparel Or Equipment)","LACROSSE, RUGBY, MISC. BALL GAMES",1215
"Other Ball Sports (activity, Apparel Or Equipment)","LACROSSE, RUGBY, MISC. BALL GAMES",3235
"Rugby (activity, Apparel Or Equipment)","LACROSSE, RUGBY, MISC. BALL GAMES",3234
"Tetherball (activity, Apparel Or Equipment)","LACROSSE, RUGBY, MISC. BALL GAMES",1276
"Martial arts (activity, Apparel Or Equipment)",MARTIAL ARTS,3257
Batons,MISCELLANEOUS SPORTS,1271
"Cheerleading (activity, Apparel Or Equipment)",MISCELLANEOUS SPORTS,3254
"Croquet (activity, Apparel Or Equipment)",MISCELLANEOUS SPORTS,1208
"Dancing (activity, Apparel Or Equipment)",MISCELLANEOUS SPORTS,3278
Gymnastics And Associated Equipment,MISCELLANEOUS SPORTS,1272
"Sports And Recreational Activity, N.e.c.",MISCELLANEOUS SPORTS,1200
"Table Tennis (activity, Apparel Or Equipment)",MISCELLANEOUS SPORTS,1269
"Wrestling (activity, Apparel Or Equipment)",MISCELLANEOUS SPORTS,1270
"Mountain Climbing (activity, Apparel Or Equipment)",MOUNTAIN CLIMBING,1258
"Skeet Shooting (activity, Apparel Or Equipment)","NONPOWDER GUNS, BBS & PELLETS",3203
"Badminton (activity, Apparel Or Equipment)",RACQUET SPORTS,3222
"Squash, Racquet Ball Or Paddle Ball",RACQUET SPORTS,3256
"Tennis (activity, Apparel Or Equipment)",RACQUET SPORTS,3284
"Shuffleboard (activity, Apparel Or Equipment)",SHUFFLEBOARD,3261
Hoverboards And Powered Skateboards,"SKATEBOARDS, SCOOTERS, HOVERBOARDS",5025
"Scooters / Skateboards, Powered","SKATEBOARDS, SCOOTERS, HOVERBOARDS",5042
"Scooters / Skateboards, Powered","SKATEBOARDS, SCOOTERS, HOVERBOARDS",5022
Scooters Unspecified,"SKATEBOARDS, SCOOTERS, HOVERBOARDS",5024
"Skateboards, Unpowered Or Unspecified","SKATEBOARDS, SCOOTERS, HOVERBOARDS",1333
"Ice Skating (activity, Apparel Or Equipment)","SKATING, ALL KINDS",3255
"IN-Line Skating (activity, Apparel Or Equipment)","SKATING, ALL KINDS",3297
"Roller Skating (activity, Apparel Or Equipment)","SKATING, ALL KINDS",3216
"Skating (activity, Apparel Or Equipment)","SKATING, ALL KINDS",3217
"Snowmobiles (activity, Apparel Or Equipment)",SNOWMOBILES,1290
"Snow skiing (activity, Apparel Or Equipment)",SNOWSKIING,3283
"Snowboarding (activity, Apparel Or Equipment)",SNOWSKIING,5031
"Soccer (activity, Apparel Or Equipment)",SOCCER,1267
Diving Or Diving Boards,"SWIMMING ACTIVITY, POOLS, EQUIPMENT",1278
"Scuba Diving (activity, Apparel Or Equipment)","SWIMMING ACTIVITY, POOLS, EQUIPMENT",1275
"Swimming (activity, Apparel Or Equipment)","SWIMMING ACTIVITY, POOLS, EQUIPMENT",3274
Swimming Pool Equipment,"SWIMMING ACTIVITY, POOLS, EQUIPMENT",3262
"Water Polo (activity, Apparel Or Equipment)","SWIMMING ACTIVITY, POOLS, EQUIPMENT",3276
"Track & Field (act., Apparel, Eqp.; Ex. Jog, Run Fit)","TRACK & FIELD ACTIVITIES, EQUIPMENT",5030
"Volleyball (activity, Apparel Or Equipment)",VOLLEYBALL,1266
"Surfing (activity, Apparel Or Equipment)","WATER SKIING, TUBING, SURFING",1261
"Water Skiing (activity, Apparel Or Equipment)","WATER SKIING, TUBING, SURFING",1264
"Water Tubing (activity, Apparel Or Equipment)","WATER SKIING, TUBING, SURFING",3200
