Body part,Code
"Head (incl. brain, scalp)",75
Ear,94
Eyeball,77
"Face (including eyelid, eye area, nose, and forehead)",76
"Mouth (including lips, tongue and teeth)",88
Neck (cervical spine),89
"Shoulder (incl. clavicle, scapula, trapezius)",30
Upper trunk *,31
Upper arm,80
"Elbow (incl. antecubital fossa, radial head)",32
"Lower Arm (incl. radius, ulna)",33
Wrist (incl. distal radius),34
Hand,82
Finger,92
Lower trunk+,79
Pubic region,38
Upper leg (excl. femoral neck),81
"Knee (incl. patella, tibial plateau)",35
"Lower leg (incl. achilles tendon, fibula, shin, tibia)",36
Ankle,37
Foot,83
Toe,93
25-50% of Body,84
All Parts of Body,85
Not Stated,87
Internal,00
